[ii] n=92103 bank=72204.2930 mode=multi target=4000 block_time=60.0s seed=11
[r1200] best=72204.2930 gains=0 lat=0 region~3962 free~597 t=38s status=OPTIMAL
[r1210] best=72204.2930 gains=0 lat=0 region~3962 free~590 t=38s status=OPTIMAL
[r1220] best=72204.2930 gains=0 lat=0 region~3937 free~607 t=39s status=OPTIMAL
[r1230] best=72204.2930 gains=0 lat=0 region~3913 free~600 t=39s status=OPTIMAL
[r1240] best=72204.2930 gains=0 lat=0 region~3937 free~611 t=39s status=OPTIMAL
[r1250] best=72204.2930 gains=0 lat=0 region~3978 free~597 t=39s status=OPTIMAL
[r1260] best=72204.2930 gains=0 lat=0 region~3967 free~595 t=40s status=OPTIMAL
[r1270] best=72204.2930 gains=0 lat=0 region~3807 free~586 t=40s status=OPTIMAL
[r1280] best=72204.2930 gains=0 lat=0 region~3947 free~599 t=40s status=OPTIMAL
[r1290] best=72204.2930 gains=0 lat=0 region~3976 free~605 t=41s status=OPTIMAL
[r1300] best=72204.2930 gains=0 lat=0 region~3985 free~621 t=41s status=OPTIMAL
[r1310] best=72204.2930 gains=0 lat=0 region~3985 free~621 t=41s status=OPTIMAL
[r1320] best=72204.2930 gains=0 lat=0 region~3932 free~607 t=42s status=OPTIMAL
[r1330] best=72204.2930 gains=0 lat=0 region~3918 free~621 t=42s status=OPTIMAL
[r1340] best=72204.2930 gains=0 lat=0 region~3955 free~613 t=42s status=OPTIMAL
[r1350] best=72204.2930 gains=0 lat=0 region~3963 free~616 t=43s status=OPTIMAL
[r1360] best=72204.2930 gains=0 lat=0 region~3956 free~602 t=43s status=OPTIMAL
[r1370] best=72204.2930 gains=0 lat=0 region~3945 free~592 t=43s status=OPTIMAL
[r1380] best=72204.2930 gains=0 lat=0 region~3941 free~591 t=44s status=OPTIMAL
[r1390] best=72204.2930 gains=0 lat=0 region~3921 free~599 t=44s status=OPTIMAL
[r1400] best=72204.2930 gains=0 lat=0 region~3959 free~607 t=44s status=OPTIMAL
[r1410] best=72204.2930 gains=0 lat=0 region~3948 free~592 t=45s status=OPTIMAL
[r1420] best=72204.2930 gains=0 lat=0 region~3981 free~607 t=45s status=OPTIMAL
[r1430] best=72204.2930 gains=0 lat=0 region~3928 free~574 t=45s status=OPTIMAL
[r1440] best=72204.2930 gains=0 lat=0 region~3972 free~596 t=45s status=OPTIMAL
[r1450] best=72204.2930 gains=0 lat=0 region~3958 free~593 t=46s status=OPTIMAL
[r1460] best=72204.2930 gains=0 lat=0 region~3956 free~617 t=46s status=OPTIMAL
[r1470] best=72204.2930 gains=0 lat=0 region~3921 free~604 t=46s status=OPTIMAL
[r1480] best=72204.2930 gains=0 lat=0 region~3970 free~601 t=47s status=OPTIMAL
[r1490] best=72204.2930 gains=0 lat=0 region~3973 free~602 t=47s status=OPTIMAL
[r1500] best=72204.2930 gains=0 lat=0 region~3946 free~594 t=47s status=OPTIMAL
[r1510] best=72204.2930 gains=0 lat=0 region~3950 free~589 t=48s status=OPTIMAL
[r1520] best=72204.2930 gains=0 lat=0 region~3978 free~604 t=48s status=OPTIMAL
