error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/julian/.cache/mamba/proc'
    Waiting for other mamba process to finish
[E-678 s421] best=72657.31 (+-596.17 vs bank) it=217 acc=217 [101s]
[E-678 s421] best=72659.60 (+-593.88 vs bank) it=225 acc=225 [104s]
[E-678 s421] best=72659.85 (+-593.63 vs bank) it=226 acc=226 [105s]
[E-678 s421] best=72659.95 (+-593.53 vs bank) it=233 acc=233 [108s]
[E-678 s421] best=72660.75 (+-592.73 vs bank) it=240 acc=240 [111s]
[E-678 s421] best=72662.07 (+-591.41 vs bank) it=241 acc=241 [112s]
[E-678 s421] best=72662.98 (+-590.50 vs bank) it=243 acc=243 [113s]
[E-678 s421] best=72664.33 (+-589.15 vs bank) it=245 acc=245 [113s]
[E-678 s421] best=72665.67 (+-587.81 vs bank) it=247 acc=247 [115s]
[E-678 s421] best=72666.99 (+-586.49 vs bank) it=261 acc=261 [121s]
[E-678 s421] best=72667.23 (+-586.25 vs bank) it=277 acc=277 [127s]
[E-678 s421] best=72670.89 (+-582.59 vs bank) it=278 acc=278 [128s]
[E-678 s421] best=72672.54 (+-580.94 vs bank) it=282 acc=282 [129s]
[E-678 s421] best=72674.40 (+-579.08 vs bank) it=292 acc=292 [134s]
[E-678 s421] best=72675.11 (+-578.37 vs bank) it=298 acc=298 [136s]
[E-678 s421] it=300 cur=72675.11 best=72675.11 [137s]
[E-678 s421] best=72676.45 (+-577.03 vs bank) it=301 acc=301 [137s]
[E-678 s421] best=72677.33 (+-576.15 vs bank) it=304 acc=304 [139s]
[E-678 s421] best=72677.38 (+-576.10 vs bank) it=307 acc=307 [140s]
[E-678 s421] best=72677.57 (+-575.91 vs bank) it=310 acc=310 [141s]
[E-678 s421] best=72677.69 (+-575.79 vs bank) it=318 acc=318 [145s]
[E-678 s421] best=72678.13 (+-575.35 vs bank) it=327 acc=327 [149s]
[E-678 s421] best=72678.69 (+-574.79 vs bank) it=328 acc=328 [149s]
[E-678 s421] best=72681.07 (+-572.41 vs bank) it=329 acc=329 [150s]
[E-678 s421] best=72681.64 (+-571.84 vs bank) it=330 acc=330 [150s]
[E-678 s421] best=72682.08 (+-571.40 vs bank) it=341 acc=341 [155s]
[E-678 s421] best=72682.43 (+-571.05 vs bank) it=343 acc=343 [156s]
[E-678 s421] best=72682.86 (+-570.62 vs bank) it=349 acc=349 [159s]
[E-678 s421] best=72683.59 (+-569.89 vs bank) it=350 acc=350 [159s]
[E-678 s421] best=72683.64 (+-569.84 vs bank) it=351 acc=351 [159s]
[E-678 s421] best=72689.54 (+-563.93 vs bank) it=353 acc=353 [160s]
[E-678 s421] best=72690.68 (+-562.80 vs bank) it=356 acc=356 [162s]
[E-678 s421] best=72691.82 (+-561.66 vs bank) it=364 acc=364 [166s]
[E-678 s421] best=72693.24 (+-560.24 vs bank) it=367 acc=367 [167s]
[E-678 s421] best=72696.05 (+-557.43 vs bank) it=369 acc=369 [168s]
[E-678 s421] best=72696.73 (+-556.75 vs bank) it=385 acc=385 [175s]
[E-678 s421] best=72697.12 (+-556.36 vs bank) it=389 acc=389 [177s]
[E-678 s421] best=72698.55 (+-554.93 vs bank) it=392 acc=392 [178s]
[E-678 s421] best=72699.04 (+-554.44 vs bank) it=399 acc=399 [181s]
[E-678 s421] it=400 cur=72699.04 best=72699.04 [182s]
[E-678 s421] best=72700.91 (+-552.57 vs bank) it=402 acc=402 [183s]
[E-678 s421] best=72701.69 (+-551.79 vs bank) it=404 acc=404 [184s]
[E-678 s421] best=72701.90 (+-551.58 vs bank) it=405 acc=405 [184s]
[E-678 s421] best=72703.96 (+-549.52 vs bank) it=418 acc=418 [190s]
[E-678 s421] best=72704.53 (+-548.95 vs bank) it=425 acc=425 [193s]
[E-678 s421] best=72705.59 (+-547.89 vs bank) it=426 acc=426 [194s]
[E-678 s421] best=72706.20 (+-547.28 vs bank) it=436 acc=436 [198s]
[E-678 s421] best=72709.17 (+-544.31 vs bank) it=451 acc=451 [204s]
[E-678 s421] best=72709.98 (+-543.50 vs bank) it=452 acc=452 [204s]
[E-678 s421] best=72710.00 (+-543.48 vs bank) it=455 acc=455 [206s]
[E-678 s421] best=72710.20 (+-543.28 vs bank) it=456 acc=456 [206s]
[E-678 s421] best=72710.72 (+-542.76 vs bank) it=457 acc=457 [207s]
[E-678 s421] best=72713.52 (+-539.96 vs bank) it=459 acc=459 [208s]
[E-678 s421] best=72715.57 (+-537.91 vs bank) it=460 acc=460 [208s]
[E-678 s421] best=72716.16 (+-537.32 vs bank) it=462 acc=462 [209s]
[E-678 s421] best=72719.58 (+-533.90 vs bank) it=463 acc=463 [209s]
[E-678 s421] best=72719.87 (+-533.61 vs bank) it=466 acc=466 [211s]
[E-678 s421] best=72721.32 (+-532.16 vs bank) it=467 acc=467 [211s]
[E-678 s421] best=72721.90 (+-531.58 vs bank) it=468 acc=468 [212s]
[E-678 s421] best=72725.39 (+-528.09 vs bank) it=469 acc=469 [212s]
[E-678 s421] best=72726.02 (+-527.46 vs bank) it=470 acc=470 [212s]
[E-678 s421] best=72727.67 (+-525.81 vs bank) it=472 acc=472 [213s]
[E-678 s421] best=72729.72 (+-523.76 vs bank) it=475 acc=475 [215s]
[E-678 s421] best=72730.28 (+-523.20 vs bank) it=477 acc=477 [215s]
[E-678 s421] best=72731.68 (+-521.80 vs bank) it=478 acc=478 [216s]
[E-678 s421] best=72732.48 (+-521.00 vs bank) it=479 acc=479 [216s]
[E-678 s421] best=72732.84 (+-520.64 vs bank) it=481 acc=481 [217s]
[E-678 s421] best=72733.26 (+-520.22 vs bank) it=482 acc=482 [218s]
[E-678 s421] best=72733.47 (+-520.01 vs bank) it=483 acc=483 [218s]
[E-678 s421] best=72734.34 (+-519.14 vs bank) it=485 acc=485 [219s]
[E-678 s421] best=72736.83 (+-516.65 vs bank) it=489 acc=489 [221s]
[E-678 s421] best=72737.25 (+-516.23 vs bank) it=494 acc=494 [223s]
[E-678 s421] best=72737.50 (+-515.98 vs bank) it=497 acc=497 [224s]
[E-678 s421] best=72737.95 (+-515.53 vs bank) it=498 acc=498 [225s]
[E-678 s421] it=500 cur=72737.95 best=72737.95 [226s]
[E-678 s421] best=72738.49 (+-514.99 vs bank) it=501 acc=501 [226s]
[E-678 s421] best=72740.81 (+-512.67 vs bank) it=504 acc=504 [227s]
[E-678 s421] best=72742.27 (+-511.21 vs bank) it=510 acc=510 [230s]
[E-678 s421] best=72742.80 (+-510.68 vs bank) it=513 acc=513 [232s]
