[E-756rr] bank 33490.458, 4479 matched. ruin-recreate K∈[100,400] 6000s seed7
[E-756rr] it7200: cur 33488.316 best 33490.458 (+0.000) T=0.082 acc6964 [120s]
[E-756rr] it7250: cur 33488.176 best 33490.458 (+0.000) T=0.080 acc7009 [121s]
[E-756rr] it7300: cur 33488.176 best 33490.458 (+0.000) T=0.078 acc7058 [122s]
[E-756rr] it7350: cur 33488.176 best 33490.458 (+0.000) T=0.076 acc7105 [123s]
[E-756rr] it7400: cur 33488.176 best 33490.458 (+0.000) T=0.074 acc7153 [123s]
[E-756rr] it7450: cur 33488.176 best 33490.458 (+0.000) T=0.072 acc7200 [124s]
[E-756rr] it7500: cur 33488.176 best 33490.458 (+0.000) T=0.070 acc7248 [125s]
[E-756rr] it7550: cur 33488.176 best 33490.458 (+0.000) T=0.069 acc7295 [126s]
[E-756rr] it7600: cur 33488.176 best 33490.458 (+0.000) T=0.067 acc7343 [127s]
[E-756rr] it7650: cur 33488.518 best 33490.458 (+0.000) T=0.065 acc7391 [128s]
[E-756rr] it7700: cur 33488.518 best 33490.458 (+0.000) T=0.064 acc7439 [129s]
[E-756rr] it7750: cur 33488.518 best 33490.458 (+0.000) T=0.062 acc7485 [130s]
[E-756rr] it7800: cur 33488.518 best 33490.458 (+0.000) T=0.061 acc7532 [131s]
[E-756rr] it7850: cur 33488.518 best 33490.458 (+0.000) T=0.059 acc7581 [132s]
[E-756rr] it7900: cur 33488.518 best 33490.458 (+0.000) T=0.058 acc7629 [133s]
[E-756rr] it7950: cur 33488.518 best 33490.458 (+0.000) T=0.056 acc7676 [134s]
[E-756rr] it8000: cur 33488.518 best 33490.458 (+0.000) T=0.055 acc7726 [135s]
[E-756rr] it8050: cur 33488.518 best 33490.458 (+0.000) T=0.054 acc7771 [136s]
[E-756rr] it8100: cur 33488.518 best 33490.458 (+0.000) T=0.052 acc7818 [137s]
[E-756rr] it8150: cur 33488.518 best 33490.458 (+0.000) T=0.051 acc7868 [138s]
[E-756rr] it8200: cur 33488.518 best 33490.458 (+0.000) T=0.050 acc7918 [138s]
[E-756rr] it8250: cur 33489.265 best 33490.458 (+0.000) T=1.951 acc7964 [139s]
[E-756rr] it8300: cur 33489.125 best 33490.458 (+0.000) T=1.902 acc8013 [140s]
[E-756rr] it8350: cur 33488.896 best 33490.458 (+0.000) T=1.855 acc8062 [141s]
[E-756rr] it8400: cur 33488.896 best 33490.458 (+0.000) T=1.810 acc8112 [142s]
[E-756rr] it8450: cur 33488.728 best 33490.458 (+0.000) T=1.765 acc8162 [142s]
[E-756rr] it8500: cur 33488.728 best 33490.458 (+0.000) T=1.721 acc8210 [143s]
[E-756rr] it8550: cur 33488.499 best 33490.458 (+0.000) T=1.679 acc8260 [144s]
[E-756rr] it8600: cur 33488.499 best 33490.458 (+0.000) T=1.637 acc8307 [145s]
[E-756rr] it8650: cur 33488.728 best 33490.458 (+0.000) T=1.597 acc8356 [146s]
[E-756rr] it8700: cur 33488.728 best 33490.458 (+0.000) T=1.558 acc8405 [147s]
[E-756rr] it8750: cur 33488.728 best 33490.458 (+0.000) T=1.519 acc8455 [147s]
[E-756rr] it8800: cur 33488.499 best 33490.458 (+0.000) T=1.482 acc8504 [148s]
[E-756rr] it8850: cur 33488.499 best 33490.458 (+0.000) T=1.445 acc8553 [149s]
[E-756rr] it8900: cur 33488.728 best 33490.458 (+0.000) T=1.409 acc8602 [150s]
[E-756rr] it8950: cur 33488.499 best 33490.458 (+0.000) T=1.374 acc8651 [151s]
[E-756rr] it9000: cur 33488.499 best 33490.458 (+0.000) T=1.341 acc8700 [151s]
[E-756rr] it9050: cur 33488.728 best 33490.458 (+0.000) T=1.307 acc8750 [152s]
[E-756rr] it9100: cur 33488.728 best 33490.458 (+0.000) T=1.275 acc8798 [153s]
[E-756rr] it9150: cur 33488.728 best 33490.458 (+0.000) T=1.244 acc8847 [154s]
[E-756rr] it9200: cur 33488.728 best 33490.458 (+0.000) T=1.213 acc8896 [155s]
[E-756rr] it9250: cur 33489.070 best 33490.458 (+0.000) T=1.183 acc8946 [156s]
[E-756rr] it9300: cur 33488.188 best 33490.458 (+0.000) T=1.154 acc8996 [156s]
[E-756rr] it9350: cur 33488.841 best 33490.458 (+0.000) T=1.125 acc9046 [157s]
