error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/julian/.cache/mamba/proc'
    Waiting for other mamba process to finish
[E-678 s201] best=73015.87 (+-237.61 vs bank) it=144 acc=144 [595s]
[E-678 s201] best=73018.17 (+-235.31 vs bank) it=147 acc=147 [607s]
[E-678 s201] best=73020.23 (+-233.25 vs bank) it=149 acc=149 [615s]
[E-678 s201] best=73025.32 (+-228.16 vs bank) it=151 acc=151 [623s]
[E-678 s201] best=73028.35 (+-225.13 vs bank) it=154 acc=154 [640s]
[E-678 s201] best=73029.42 (+-224.06 vs bank) it=156 acc=156 [648s]
[E-678 s201] best=73032.36 (+-221.12 vs bank) it=161 acc=161 [671s]
[E-678 s201] best=73033.59 (+-219.89 vs bank) it=162 acc=162 [674s]
[E-678 s201] best=73034.29 (+-219.19 vs bank) it=163 acc=163 [678s]
[E-678 s201] best=73034.38 (+-219.10 vs bank) it=164 acc=164 [682s]
[E-678 s201] best=73034.80 (+-218.68 vs bank) it=165 acc=165 [686s]
[E-678 s201] best=73037.37 (+-216.11 vs bank) it=166 acc=166 [691s]
[E-678 s201] best=73040.19 (+-213.29 vs bank) it=174 acc=174 [727s]
[E-678 s201] best=73040.60 (+-212.88 vs bank) it=175 acc=175 [730s]
[E-678 s201] best=73043.57 (+-209.91 vs bank) it=177 acc=177 [736s]
[E-678 s201] best=73044.42 (+-209.06 vs bank) it=179 acc=179 [742s]
[E-678 s201] best=73047.52 (+-205.96 vs bank) it=180 acc=180 [745s]
[E-678 s201] best=73048.04 (+-205.44 vs bank) it=182 acc=182 [751s]
[E-678 s201] best=73048.62 (+-204.86 vs bank) it=183 acc=183 [754s]
[E-678 s201] best=73049.06 (+-204.42 vs bank) it=184 acc=184 [757s]
[E-678 s201] best=73051.24 (+-202.24 vs bank) it=186 acc=186 [763s]
[E-678 s201] best=73054.93 (+-198.55 vs bank) it=187 acc=187 [767s]
[E-678 s201] best=73059.56 (+-193.92 vs bank) it=188 acc=188 [770s]
[E-678 s201] best=73062.41 (+-191.07 vs bank) it=189 acc=189 [773s]
[E-678 s201] best=73064.12 (+-189.36 vs bank) it=192 acc=192 [782s]
[E-678 s201] best=73065.61 (+-187.87 vs bank) it=193 acc=193 [785s]
[E-678 s201] best=73065.88 (+-187.60 vs bank) it=194 acc=194 [789s]
[E-678 s201] best=73066.48 (+-187.00 vs bank) it=196 acc=196 [795s]
[E-678 s201] it=200 cur=73066.48 best=73066.48 [808s]
[E-678 s201] best=73069.46 (+-184.02 vs bank) it=202 acc=202 [816s]
[E-678 s201] best=73069.55 (+-183.93 vs bank) it=204 acc=204 [824s]
[E-678 s201] best=73069.76 (+-183.72 vs bank) it=208 acc=208 [840s]
[E-678 s201] best=73070.14 (+-183.34 vs bank) it=211 acc=211 [852s]
[E-678 s201] best=73074.61 (+-178.87 vs bank) it=215 acc=215 [867s]
[E-678 s201] best=73075.89 (+-177.59 vs bank) it=218 acc=218 [879s]
[E-678 s201] best=73076.16 (+-177.32 vs bank) it=219 acc=219 [883s]
[E-678 s201] best=73076.99 (+-176.49 vs bank) it=220 acc=220 [887s]
[E-678 s201] best=73078.56 (+-174.92 vs bank) it=221 acc=221 [892s]
[E-678 s201] best=73078.97 (+-174.51 vs bank) it=222 acc=222 [896s]
[E-678 s201] best=73078.98 (+-174.50 vs bank) it=224 acc=224 [905s]
[E-678 s201] best=73079.22 (+-174.26 vs bank) it=225 acc=225 [908s]
[E-678 s201] best=73083.09 (+-170.39 vs bank) it=226 acc=226 [912s]
[E-678 s201] best=73083.42 (+-170.06 vs bank) it=227 acc=227 [917s]
[E-678 s201] best=73084.33 (+-169.15 vs bank) it=228 acc=228 [920s]
[E-678 s201] best=73088.32 (+-165.16 vs bank) it=229 acc=229 [924s]
[E-678 s201] best=73090.83 (+-162.65 vs bank) it=230 acc=230 [928s]
[E-678 s201] best=73091.91 (+-161.57 vs bank) it=231 acc=231 [932s]
[E-678 s201] best=73094.75 (+-158.73 vs bank) it=232 acc=232 [936s]
[E-678 s201] best=73095.84 (+-157.64 vs bank) it=233 acc=233 [940s]
[E-678 s201] best=73097.66 (+-155.82 vs bank) it=234 acc=234 [944s]
[E-678 s201] best=73099.01 (+-154.47 vs bank) it=238 acc=238 [960s]
[E-678 s201] best=73100.70 (+-152.78 vs bank) it=239 acc=239 [964s]
[E-678 s201] best=73100.91 (+-152.57 vs bank) it=240 acc=240 [968s]
[E-678 s201] best=73102.85 (+-150.63 vs bank) it=242 acc=242 [975s]
[E-678 s201] best=73103.80 (+-149.68 vs bank) it=243 acc=243 [979s]
[E-678 s201] best=73104.55 (+-148.93 vs bank) it=244 acc=244 [982s]
[E-678 s201] best=73105.09 (+-148.39 vs bank) it=253 acc=253 [1017s]
[E-678 s201] best=73107.59 (+-145.89 vs bank) it=256 acc=256 [1029s]
[E-678 s201] best=73109.13 (+-144.35 vs bank) it=259 acc=259 [1040s]
[E-678 s201] best=73110.73 (+-142.75 vs bank) it=260 acc=260 [1043s]
[E-678 s201] best=73111.34 (+-142.14 vs bank) it=261 acc=261 [1046s]
[E-678 s201] best=73112.86 (+-140.62 vs bank) it=265 acc=265 [1057s]
[E-678 s201] best=73113.52 (+-139.96 vs bank) it=267 acc=267 [1062s]
[E-678 s201] best=73114.53 (+-138.95 vs bank) it=272 acc=272 [1077s]
[E-678 s201] best=73114.59 (+-138.89 vs bank) it=277 acc=277 [1092s]
[E-678 s201] best=73115.88 (+-137.60 vs bank) it=285 acc=285 [1115s]
[E-678 s201] best=73116.40 (+-137.08 vs bank) it=292 acc=292 [1135s]
[E-678 s201] it=300 cur=73116.40 best=73116.40 [1159s]
[E-678 s201] best=73117.10 (+-136.38 vs bank) it=305 acc=305 [1173s]
[E-678 s201] best=73118.16 (+-135.32 vs bank) it=350 acc=350 [1298s]
[E-678 s201] best=73118.16 (+-135.32 vs bank) it=357 acc=357 [1316s]
[E-678 s201] best=73120.07 (+-133.41 vs bank) it=358 acc=358 [1319s]
[E-678 s201] best=73121.93 (+-131.55 vs bank) it=359 acc=359 [1321s]
[E-678 s201] best=73123.43 (+-130.05 vs bank) it=367 acc=367 [1342s]
[E-678 s201] best=73123.78 (+-129.70 vs bank) it=371 acc=371 [1352s]
[E-678 s201] best=73126.05 (+-127.43 vs bank) it=373 acc=373 [1357s]
[E-678 s201] it=400 cur=73126.05 best=73126.05 [1426s]
[E-678 s201] best=73126.60 (+-126.88 vs bank) it=482 acc=482 [1635s]
[E-678 s201] best=73127.43 (+-126.05 vs bank) it=483 acc=483 [1638s]
[E-678 s201] best=73128.11 (+-125.37 vs bank) it=491 acc=491 [1658s]
[E-678 s201] it=500 cur=73128.11 best=73128.11 [1681s]
[E-678 s201] best=73129.04 (+-124.44 vs bank) it=513 acc=513 [1714s]
[E-678 s201] best=73129.25 (+-124.23 vs bank) it=516 acc=516 [1722s]
[E-678 s201] best=73130.30 (+-123.18 vs bank) it=520 acc=520 [1732s]
[E-678 s201] best=73132.89 (+-120.59 vs bank) it=521 acc=521 [1735s]
[E-678 s201] best=73133.89 (+-119.59 vs bank) it=522 acc=522 [1737s]
[E-678 s201] best=73135.14 (+-118.34 vs bank) it=528 acc=528 [1753s]
[E-678 s201] best=73136.33 (+-117.15 vs bank) it=557 acc=557 [1827s]
[E-678 s201] best=73136.89 (+-116.59 vs bank) it=596 acc=596 [1926s]
[E-678 s201] it=600 cur=73136.89 best=73136.89 [1937s]
[E-678 s201] best=73137.73 (+-115.75 vs bank) it=655 acc=655 [2077s]
[E-678 s201] it=700 cur=73137.73 best=73137.73 [2193s]
[E-678 s201] best=73137.85 (+-115.63 vs bank) it=707 acc=707 [2211s]
[E-678 s201] best=73139.78 (+-113.70 vs bank) it=747 acc=747 [2313s]
[E-678 s201] best=73140.15 (+-113.33 vs bank) it=769 acc=769 [2370s]
[E-678 s201] best=73140.51 (+-112.97 vs bank) it=770 acc=770 [2373s]
[E-678 s201] best=73145.57 (+-107.91 vs bank) it=772 acc=772 [2378s]
[E-678 s201] best=73146.28 (+-107.20 vs bank) it=780 acc=780 [2398s]
[E-678 s201] best=73146.36 (+-107.12 vs bank) it=782 acc=782 [2404s]
[E-678 s201] best=73147.33 (+-106.15 vs bank) it=784 acc=784 [2409s]
[E-678 s201] best=73147.72 (+-105.76 vs bank) it=792 acc=792 [2429s]
[E-678 s201] it=800 cur=73147.72 best=73147.72 [2450s]
[E-678 s201] best=73148.12 (+-105.36 vs bank) it=802 acc=802 [2455s]
[E-678 s201] best=73148.15 (+-105.33 vs bank) it=810 acc=810 [2475s]
[E-678 s201] best=73149.27 (+-104.21 vs bank) it=820 acc=820 [2500s]
[E-678 s201] best=73149.46 (+-104.02 vs bank) it=891 acc=891 [2682s]
[E-678 s201] it=900 cur=73149.46 best=73149.46 [2705s]
[E-678 s201] best=73151.28 (+-102.20 vs bank) it=941 acc=941 [2810s]
[E-678 s201] best=73151.99 (+-101.49 vs bank) it=942 acc=942 [2812s]
[E-678 s201] best=73152.23 (+-101.25 vs bank) it=944 acc=944 [2817s]
[E-678 s201] best=73152.54 (+-100.94 vs bank) it=949 acc=949 [2830s]
[E-678 s201] best=73153.17 (+-100.31 vs bank) it=950 acc=950 [2833s]
[E-678 s201] best=73153.93 (+-99.55 vs bank) it=951 acc=951 [2835s]
[E-678 s201] best=73155.05 (+-98.43 vs bank) it=952 acc=952 [2838s]
[E-678 s201] best=73155.64 (+-97.84 vs bank) it=959 acc=959 [2856s]
[E-678 s201] best=73155.77 (+-97.71 vs bank) it=965 acc=965 [2871s]
[E-678 s201] best=73156.75 (+-96.73 vs bank) it=966 acc=966 [2874s]
[E-678 s201] it=1000 cur=73156.75 best=73156.75 [2960s]
[E-678 s201] best=73157.52 (+-95.96 vs bank) it=1006 acc=1006 [2976s]
[E-678 s201] best=73157.80 (+-95.68 vs bank) it=1046 acc=1046 [3078s]
[E-678 s201] best=73159.18 (+-94.30 vs bank) it=1051 acc=1051 [3091s]
[E-678 s201] best=73159.46 (+-94.02 vs bank) it=1054 acc=1054 [3098s]
[E-678 s201] best=73159.76 (+-93.72 vs bank) it=1059 acc=1059 [3111s]
[E-678 s201] best=73159.80 (+-93.68 vs bank) it=1060 acc=1060 [3114s]
[E-678 s201] best=73161.23 (+-92.25 vs bank) it=1061 acc=1061 [3116s]
[E-678 s201] best=73161.70 (+-91.78 vs bank) it=1094 acc=1094 [3201s]
[E-678 s201] best=73162.22 (+-91.26 vs bank) it=1095 acc=1095 [3203s]
[E-678 s201] best=73163.83 (+-89.65 vs bank) it=1096 acc=1096 [3206s]
[E-678 s201] it=1100 cur=73163.83 best=73163.83 [3216s]
[E-678 s201] best=73164.03 (+-89.45 vs bank) it=1108 acc=1108 [3237s]
[E-678 s201] best=73164.78 (+-88.70 vs bank) it=1109 acc=1109 [3239s]
[E-678 s201] best=73167.38 (+-86.10 vs bank) it=1112 acc=1112 [3247s]
[E-678 s201] best=73168.47 (+-85.01 vs bank) it=1192 acc=1192 [3452s]
[E-678 s201] best=73168.91 (+-84.57 vs bank) it=1193 acc=1193 [3455s]
[E-678 s201] it=1200 cur=73168.91 best=73168.91 [3473s]
[E-678 s201] best=73170.12 (+-83.36 vs bank) it=1228 acc=1228 [3545s]
[E-678 s201] best=73172.08 (+-81.40 vs bank) it=1234 acc=1234 [3561s]
[E-678 s201] best=73172.72 (+-80.76 vs bank) it=1244 acc=1244 [3587s]
[E-678 s201] it=1300 cur=73172.72 best=73172.72 [3731s]
[E-678 s201] it=1400 cur=73172.72 best=73172.72 [3992s]
[E-678 s201] best=73172.89 (+-80.59 vs bank) it=1405 acc=1405 [4005s]
[E-678 s201] best=73174.48 (+-79.00 vs bank) it=1412 acc=1412 [4023s]
[E-678 s201] best=73174.75 (+-78.73 vs bank) it=1414 acc=1414 [4028s]
[E-678 s201] best=73174.86 (+-78.62 vs bank) it=1454 acc=1454 [4132s]
[E-678 s201] best=73174.99 (+-78.49 vs bank) it=1493 acc=1493 [4233s]
[E-678 s201] it=1500 cur=73174.99 best=73174.99 [4251s]
[E-678 s201] best=73175.50 (+-77.98 vs bank) it=1534 acc=1534 [4338s]
[E-678 s201] best=73175.93 (+-77.55 vs bank) it=1591 acc=1591 [4488s]
[E-678 s201] it=1600 cur=73175.93 best=73175.93 [4512s]
[E-678 s201] it=1700 cur=73175.93 best=73175.93 [4798s]
[E-678 s201] best=73177.18 (+-76.29 vs bank) it=1741 acc=1741 [4913s]
[E-678 s201] best=73177.65 (+-75.83 vs bank) it=1748 acc=1748 [4932s]
[E-678 s201] best=73179.18 (+-74.30 vs bank) it=1750 acc=1750 [4937s]
[E-678 s201] it=1800 cur=73179.18 best=73179.18 [5076s]
[E-678 s201] best=73179.80 (+-73.68 vs bank) it=1882 acc=1882 [5309s]
[E-678 s201] best=73179.84 (+-73.64 vs bank) it=1898 acc=1898 [5351s]
[E-678 s201] best=73180.11 (+-73.37 vs bank) it=1900 acc=1900 [5356s]
[E-678 s201] it=1900 cur=73180.11 best=73180.11 [5356s]
[E-678 s201] best=73180.57 (+-72.91 vs bank) it=1905 acc=1905 [5370s]
[E-678 s201] best=73180.78 (+-72.70 vs bank) it=1916 acc=1916 [5399s]
[E-678 s201] best=73180.80 (+-72.68 vs bank) it=1917 acc=1917 [5402s]
[E-678 s201] best=73181.11 (+-72.37 vs bank) it=1919 acc=1919 [5407s]
[E-678 s201] best=73182.31 (+-71.17 vs bank) it=1947 acc=1947 [5478s]
[E-678 s201] best=73183.60 (+-69.88 vs bank) it=1985 acc=1985 [5575s]
[E-678 s201] best=73183.95 (+-69.53 vs bank) it=1987 acc=1987 [5580s]
[E-678 s201] best=73185.36 (+-68.12 vs bank) it=1991 acc=1991 [5590s]
[E-678 s201] it=2000 cur=73185.36 best=73185.36 [5613s]
[E-678 s201] best=73185.94 (+-67.54 vs bank) it=2009 acc=2009 [5636s]
[E-678 s201] best=73188.14 (+-65.34 vs bank) it=2012 acc=2012 [5644s]
[E-678 s201] best=73188.41 (+-65.07 vs bank) it=2017 acc=2017 [5657s]
