error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/julian/.cache/mamba/proc'
    Waiting for other mamba process to finish
[TDSA-D] seed 601 cities, makespan 2075.3d strands 34; iters=40000 T0=18.0
[TDSA-D] it6900: cur 2490 best_mk 1433.4d best_strands 21 T=4.6 acc=35 [21420s]
[TDSA-D] it6950: cur 2490 best_mk 1433.4d best_strands 21 T=4.6 acc=35 [21583s]
[TDSA-D] it7000: cur 2490 best_mk 1433.4d best_strands 21 T=4.5 acc=35 [21727s]
[TDSA-D] it7050: cur 2490 best_mk 1433.4d best_strands 21 T=4.5 acc=35 [21883s]
[TDSA-D] it7100: cur 2490 best_mk 1433.4d best_strands 21 T=4.5 acc=35 [22014s]
[TDSA-D] it7150: cur 2490 best_mk 1433.4d best_strands 21 T=4.4 acc=35 [22159s]
[TDSA-D] it7200: cur 2490 best_mk 1433.4d best_strands 21 T=4.4 acc=35 [22312s]
[TDSA-D] it7250: cur 2490 best_mk 1433.4d best_strands 21 T=4.3 acc=36 [22487s]
[TDSA-D] it7300: cur 2490 best_mk 1433.4d best_strands 21 T=4.3 acc=36 [22641s]
[TDSA-D] it7350: cur 2490 best_mk 1433.4d best_strands 21 T=4.2 acc=36 [22802s]
[TDSA-D] it7400: cur 2490 best_mk 1433.4d best_strands 21 T=4.2 acc=36 [22962s]
[TDSA-D] it7450: cur 2490 best_mk 1433.4d best_strands 21 T=4.2 acc=36 [23108s]
[TDSA-D] it7500: cur 2490 best_mk 1433.4d best_strands 21 T=4.1 acc=36 [23280s]
[TDSA-D] it7550: cur 2490 best_mk 1433.4d best_strands 21 T=4.1 acc=36 [23435s]
[TDSA-D] it7600: cur 2490 best_mk 1433.4d best_strands 21 T=4.0 acc=36 [23589s]
[TDSA-D] it7650: cur 2490 best_mk 1433.4d best_strands 21 T=4.0 acc=36 [23743s]
[TDSA-D] it7700: cur 2490 best_mk 1433.4d best_strands 21 T=4.0 acc=36 [23915s]
[TDSA-D] it7750: cur 2490 best_mk 1433.4d best_strands 21 T=3.9 acc=36 [24091s]
[TDSA-D] it7800: cur 2490 best_mk 1433.4d best_strands 21 T=3.9 acc=36 [24226s]
[TDSA-D] it7850: cur 2490 best_mk 1433.4d best_strands 21 T=3.8 acc=36 [24377s]
[TDSA-D] it7900: cur 2490 best_mk 1433.4d best_strands 21 T=3.8 acc=36 [24556s]
[TDSA-D] it7950: cur 2490 best_mk 1433.4d best_strands 21 T=3.8 acc=36 [24716s]
[TDSA-D] it8000: cur 2490 best_mk 1433.4d best_strands 21 T=3.7 acc=36 [24851s]
[TDSA-D] it8050: cur 2490 best_mk 1433.4d best_strands 21 T=3.7 acc=36 [24983s]
[TDSA-D] it8100: cur 2490 best_mk 1433.4d best_strands 21 T=3.7 acc=36 [25132s]
[TDSA-D] it8150: cur 2490 best_mk 1433.4d best_strands 21 T=3.6 acc=36 [25286s]
[TDSA-D] it8200: cur 2490 best_mk 1433.4d best_strands 21 T=3.6 acc=36 [25438s]
[TDSA-D] it8250: cur 2490 best_mk 1433.4d best_strands 21 T=3.6 acc=36 [25575s]
[TDSA-D] it8300: cur 2490 best_mk 1433.4d best_strands 21 T=3.5 acc=36 [25725s]
