[TDSA-C] seed 601 cities, makespan 2075.3d strands 34; iters=40000 T0=25.0
[TDSA-C] it4800: cur 2812 best_mk 1607.9d best_strands 24 T=9.7 acc=40 [12846s]
[TDSA-C] it4850: cur 2812 best_mk 1607.9d best_strands 24 T=9.6 acc=40 [12956s]
[TDSA-C] it4900: cur 2812 best_mk 1607.9d best_strands 24 T=9.5 acc=40 [13089s]
[TDSA-C] it4950: cur 2812 best_mk 1607.9d best_strands 24 T=9.4 acc=41 [13209s]
[TDSA-C] it5000: cur 2812 best_mk 1607.9d best_strands 24 T=9.3 acc=42 [13320s]
[TDSA-C] it5050: cur 2812 best_mk 1607.9d best_strands 24 T=9.2 acc=42 [13449s]
[TDSA-C] it5100: cur 2812 best_mk 1607.9d best_strands 24 T=9.1 acc=42 [13576s]
[TDSA-C] it5150: cur 2812 best_mk 1607.9d best_strands 24 T=9.0 acc=42 [13696s]
[TDSA-C] it5200: cur 2812 best_mk 1607.9d best_strands 24 T=8.9 acc=42 [13836s]
[TDSA-C] it5250: cur 2812 best_mk 1607.9d best_strands 24 T=8.8 acc=42 [13969s]
[TDSA-C] it5300: cur 2812 best_mk 1607.9d best_strands 24 T=8.8 acc=42 [14103s]
[TDSA-C] it5350: cur 2812 best_mk 1607.9d best_strands 24 T=8.7 acc=42 [14237s]
[TDSA-C] it5400: cur 2812 best_mk 1607.9d best_strands 24 T=8.6 acc=43 [14347s]
[TDSA-C] it5450: cur 2812 best_mk 1607.9d best_strands 24 T=8.5 acc=43 [14472s]
[TDSA-C] it5500: cur 2812 best_mk 1607.9d best_strands 24 T=8.4 acc=43 [14603s]
[TDSA-C] it5550: cur 2812 best_mk 1607.9d best_strands 24 T=8.3 acc=43 [14731s]
[TDSA-C] it5600: cur 2812 best_mk 1607.9d best_strands 24 T=8.3 acc=43 [14858s]
[TDSA-C] it5650: cur 2812 best_mk 1607.9d best_strands 24 T=8.2 acc=43 [15003s]
[TDSA-C] it5700: cur 2812 best_mk 1607.9d best_strands 24 T=8.1 acc=43 [15135s]
[TDSA-C] it5750: cur 2812 best_mk 1607.9d best_strands 24 T=8.0 acc=43 [15247s]
[TDSA-C] it5800: cur 2812 best_mk 1607.9d best_strands 24 T=7.9 acc=43 [15371s]
[TDSA-C] it5850: cur 2812 best_mk 1607.9d best_strands 24 T=7.9 acc=43 [15481s]
[TDSA-C] it5900: cur 2812 best_mk 1607.9d best_strands 24 T=7.8 acc=43 [15596s]
[TDSA-C] it5950: cur 2716 best_mk 1566.3d best_strands 23 T=7.7 acc=45 [15730s]
[TDSA-C] it6000: cur 2717 best_mk 1566.3d best_strands 23 T=7.6 acc=46 [15868s]
[TDSA-C] it6050: cur 2717 best_mk 1566.3d best_strands 23 T=7.6 acc=46 [15988s]
[TDSA-C] it6100: cur 2717 best_mk 1566.3d best_strands 23 T=7.5 acc=46 [16111s]
[TDSA-C] it6150: cur 2717 best_mk 1566.3d best_strands 23 T=7.4 acc=46 [16220s]
[TDSA-C] it6200: cur 2717 best_mk 1566.3d best_strands 23 T=7.3 acc=46 [16356s]
[TDSA-C] it6250: cur 2717 best_mk 1566.3d best_strands 23 T=7.3 acc=46 [16474s]
[TDSA-C] it6300: cur 2717 best_mk 1566.3d best_strands 23 T=7.2 acc=47 [16610s]
[TDSA-C] it6350: cur 2717 best_mk 1566.3d best_strands 23 T=7.1 acc=47 [16772s]
[TDSA-C] it6400: cur 2715 best_mk 1565.0d best_strands 23 T=7.1 acc=48 [16947s]
[TDSA-C] it6450: cur 2715 best_mk 1565.0d best_strands 23 T=7.0 acc=48 [17079s]
[TDSA-C] it6500: cur 2715 best_mk 1565.0d best_strands 23 T=6.9 acc=48 [17204s]
[TDSA-C] it6550: cur 2715 best_mk 1565.0d best_strands 23 T=6.8 acc=48 [17334s]
[TDSA-C] it6600: cur 2715 best_mk 1565.0d best_strands 23 T=6.8 acc=48 [17440s]
[TDSA-C] it6650: cur 2715 best_mk 1565.0d best_strands 23 T=6.7 acc=48 [17564s]
[TDSA-C] it6700: cur 2715 best_mk 1565.0d best_strands 23 T=6.6 acc=48 [17691s]
[TDSA-C] it6750: cur 2715 best_mk 1565.0d best_strands 23 T=6.6 acc=48 [17813s]
[TDSA-C] it6800: cur 2715 best_mk 1565.0d best_strands 23 T=6.5 acc=48 [17962s]
[TDSA-C] it6850: cur 2715 best_mk 1565.0d best_strands 23 T=6.5 acc=48 [18104s]
[TDSA-C] it6900: cur 2715 best_mk 1565.0d best_strands 23 T=6.4 acc=48 [18237s]
[TDSA-C] it6950: cur 2715 best_mk 1565.0d best_strands 23 T=6.3 acc=48 [18370s]
[TDSA-C] it7000: cur 2715 best_mk 1565.0d best_strands 23 T=6.3 acc=48 [18539s]
[TDSA-C] it7050: cur 2715 best_mk 1565.0d best_strands 23 T=6.2 acc=48 [18672s]
[TDSA-C] it7100: cur 2715 best_mk 1565.0d best_strands 23 T=6.1 acc=48 [18810s]
[TDSA-C] it7150: cur 2715 best_mk 1565.0d best_strands 23 T=6.1 acc=48 [18959s]
[TDSA-C] it7200: cur 2715 best_mk 1565.0d best_strands 23 T=6.0 acc=49 [19106s]
[TDSA-C] it7250: cur 2715 best_mk 1565.0d best_strands 23 T=6.0 acc=49 [19242s]
[TDSA-C] it7300: cur 2715 best_mk 1565.0d best_strands 23 T=5.9 acc=49 [19380s]
[TDSA-C] it7350: cur 2715 best_mk 1565.0d best_strands 23 T=5.8 acc=49 [19490s]
[TDSA-C] it7400: cur 2715 best_mk 1565.0d best_strands 23 T=5.8 acc=49 [19611s]
[TDSA-C] it7450: cur 2715 best_mk 1565.0d best_strands 23 T=5.7 acc=50 [19744s]
[TDSA-C] it7500: cur 2715 best_mk 1565.0d best_strands 23 T=5.7 acc=50 [19878s]
[TDSA-C] it7550: cur 2715 best_mk 1565.0d best_strands 23 T=5.6 acc=50 [19982s]
[TDSA-C] it7600: cur 2715 best_mk 1565.0d best_strands 23 T=5.6 acc=50 [20089s]
[TDSA-C] it7650: cur 2715 best_mk 1565.0d best_strands 23 T=5.5 acc=50 [20202s]
[TDSA-C] it7700: cur 2715 best_mk 1565.0d best_strands 23 T=5.5 acc=50 [20338s]
[TDSA-C] it7750: cur 2715 best_mk 1565.0d best_strands 23 T=5.4 acc=50 [20491s]
[TDSA-C] it7800: cur 2715 best_mk 1565.0d best_strands 23 T=5.4 acc=50 [20618s]
[TDSA-C] it7850: cur 2715 best_mk 1565.0d best_strands 23 T=5.3 acc=50 [20746s]
[TDSA-C] it7900: cur 2715 best_mk 1565.0d best_strands 23 T=5.2 acc=50 [20855s]
[TDSA-C] it7950: cur 2715 best_mk 1565.0d best_strands 23 T=5.2 acc=51 [20986s]
[TDSA-C] it8000: cur 2715 best_mk 1565.0d best_strands 23 T=5.1 acc=51 [21102s]
[TDSA-C] it8050: cur 2713 best_mk 1563.5d best_strands 23 T=5.1 acc=52 [21222s]
[TDSA-C] it8100: cur 2713 best_mk 1563.5d best_strands 23 T=5.0 acc=52 [21338s]
[TDSA-C] it8150: cur 2713 best_mk 1563.5d best_strands 23 T=5.0 acc=52 [21440s]
[TDSA-C] it8200: cur 2713 best_mk 1563.5d best_strands 23 T=4.9 acc=52 [21580s]
[TDSA-C] it8250: cur 2713 best_mk 1563.5d best_strands 23 T=4.9 acc=54 [21703s]
[TDSA-C] it8300: cur 2713 best_mk 1563.5d best_strands 23 T=4.9 acc=54 [21818s]
[TDSA-C] it8350: cur 2713 best_mk 1563.5d best_strands 23 T=4.8 acc=54 [21951s]
[TDSA-C] it8400: cur 2713 best_mk 1563.5d best_strands 23 T=4.8 acc=55 [22067s]
[TDSA-C] it8450: cur 2713 best_mk 1563.5d best_strands 23 T=4.7 acc=55 [22171s]
[TDSA-C] it8500: cur 2713 best_mk 1563.5d best_strands 23 T=4.7 acc=55 [22299s]
[TDSA-C] it8550: cur 2713 best_mk 1563.5d best_strands 23 T=4.6 acc=55 [22424s]
[TDSA-C] it8600: cur 2713 best_mk 1563.5d best_strands 23 T=4.6 acc=55 [22552s]
[TDSA-C] it8650: cur 2713 best_mk 1563.5d best_strands 23 T=4.5 acc=55 [22665s]
[TDSA-C] it8700: cur 2713 best_mk 1563.5d best_strands 23 T=4.5 acc=55 [22777s]
[TDSA-C] it8750: cur 2713 best_mk 1563.5d best_strands 23 T=4.4 acc=55 [22897s]
[TDSA-C] it8800: cur 2713 best_mk 1563.5d best_strands 23 T=4.4 acc=55 [23018s]
[TDSA-C] it8850: cur 2713 best_mk 1563.5d best_strands 23 T=4.4 acc=55 [23145s]
[TDSA-C] it8900: cur 2713 best_mk 1563.5d best_strands 23 T=4.3 acc=55 [23291s]
[TDSA-C] it8950: cur 2713 best_mk 1563.5d best_strands 23 T=4.3 acc=56 [23431s]
[TDSA-C] it9000: cur 2713 best_mk 1563.5d best_strands 23 T=4.2 acc=56 [23566s]
[TDSA-C] it9050: cur 2713 best_mk 1563.5d best_strands 23 T=4.2 acc=56 [23681s]
[TDSA-C] it9100: cur 2713 best_mk 1563.5d best_strands 23 T=4.1 acc=57 [23781s]
[TDSA-C] it9150: cur 2713 best_mk 1563.5d best_strands 23 T=4.1 acc=57 [23896s]
[TDSA-C] it9200: cur 2713 best_mk 1563.5d best_strands 23 T=4.1 acc=57 [24018s]
[TDSA-C] it9250: cur 2713 best_mk 1563.5d best_strands 23 T=4.0 acc=57 [24144s]
[TDSA-C] it9300: cur 2713 best_mk 1563.5d best_strands 23 T=4.0 acc=57 [24264s]
[TDSA-C] it9350: cur 2713 best_mk 1563.5d best_strands 23 T=4.0 acc=57 [24387s]
[TDSA-C] it9400: cur 2713 best_mk 1563.5d best_strands 23 T=3.9 acc=57 [24505s]
[TDSA-C] it9450: cur 2713 best_mk 1563.5d best_strands 23 T=3.9 acc=57 [24635s]
[TDSA-C] it9500: cur 2713 best_mk 1563.5d best_strands 23 T=3.8 acc=57 [24746s]
[TDSA-C] it9550: cur 2713 best_mk 1563.5d best_strands 23 T=3.8 acc=57 [24869s]
[TDSA-C] it9600: cur 2713 best_mk 1563.5d best_strands 23 T=3.8 acc=57 [24989s]
[TDSA-C] it9650: cur 2713 best_mk 1563.5d best_strands 23 T=3.7 acc=57 [25139s]
[TDSA-C] it9700: cur 2713 best_mk 1563.5d best_strands 23 T=3.7 acc=57 [25251s]
[TDSA-C] it9750: cur 2713 best_mk 1563.5d best_strands 23 T=3.7 acc=57 [25362s]
[TDSA-C] it9800: cur 2713 best_mk 1563.5d best_strands 23 T=3.6 acc=57 [25478s]
[TDSA-C] it9850: cur 2713 best_mk 1563.5d best_strands 23 T=3.6 acc=58 [25591s]
[TDSA-C] it9900: cur 2713 best_mk 1563.5d best_strands 23 T=3.6 acc=58 [25721s]
[TDSA-C] it9950: cur 2713 best_mk 1563.5d best_strands 23 T=3.5 acc=58 [25854s]
[TDSA-C] it10000: cur 2713 best_mk 1563.5d best_strands 23 T=3.5 acc=58 [25972s]
[TDSA-C] it10050: cur 2713 best_mk 1563.5d best_strands 23 T=3.4 acc=58 [26098s]
[TDSA-C] it10100: cur 2713 best_mk 1563.5d best_strands 23 T=3.4 acc=58 [26216s]
[TDSA-C] it10150: cur 2713 best_mk 1563.5d best_strands 23 T=3.4 acc=58 [26354s]
[TDSA-C] it10200: cur 2713 best_mk 1563.5d best_strands 23 T=3.4 acc=58 [26469s]
[TDSA-C] it10250: cur 2713 best_mk 1563.5d best_strands 23 T=3.3 acc=58 [26598s]
[TDSA-C] it10300: cur 2713 best_mk 1563.5d best_strands 23 T=3.3 acc=58 [26730s]
[TDSA-C] it10350: cur 2713 best_mk 1563.5d best_strands 23 T=3.3 acc=58 [26836s]
[TDSA-C] it10400: cur 2713 best_mk 1563.5d best_strands 23 T=3.2 acc=58 [26964s]
[TDSA-C] it10450: cur 2713 best_mk 1563.5d best_strands 23 T=3.2 acc=58 [27092s]
[TDSA-C] it10500: cur 2713 best_mk 1563.5d best_strands 23 T=3.2 acc=58 [27204s]
