[TDSA-E] seed 601 cities, makespan 11686.8d strands 217; iters=40000 T0=40.0
[TDSA-E] it6400: cur 6025 best_mk 3573.3d best_strands 49 T=11.2 acc=654 [13686s]
[TDSA-E] it6450: cur 5829 best_mk 3478.9d best_strands 47 T=11.1 acc=656 [13777s]
[TDSA-E] it6500: cur 5638 best_mk 3388.2d best_strands 45 T=11.0 acc=657 [13872s]
[TDSA-E] it6550: cur 5638 best_mk 3388.2d best_strands 45 T=10.9 acc=662 [13958s]
[TDSA-E] it6600: cur 5638 best_mk 3388.2d best_strands 45 T=10.8 acc=663 [14053s]
[TDSA-E] it6650: cur 5638 best_mk 3388.2d best_strands 45 T=10.7 acc=665 [14147s]
[TDSA-E] it6700: cur 5638 best_mk 3388.2d best_strands 45 T=10.6 acc=667 [14241s]
[TDSA-E] it6750: cur 5638 best_mk 3388.2d best_strands 45 T=10.5 acc=668 [14350s]
[TDSA-E] it6800: cur 5638 best_mk 3388.2d best_strands 45 T=10.4 acc=669 [14445s]
[TDSA-E] it6850: cur 5638 best_mk 3388.2d best_strands 45 T=10.3 acc=670 [14541s]
[TDSA-E] it6900: cur 5638 best_mk 3388.2d best_strands 45 T=10.2 acc=670 [14641s]
[TDSA-E] it6950: cur 5638 best_mk 3388.2d best_strands 45 T=10.1 acc=670 [14733s]
[TDSA-E] it7000: cur 5638 best_mk 3388.2d best_strands 45 T=10.0 acc=670 [14843s]
[TDSA-E] it7050: cur 5638 best_mk 3388.2d best_strands 45 T=9.9 acc=670 [14933s]
[TDSA-E] it7100: cur 5638 best_mk 3388.2d best_strands 45 T=9.8 acc=673 [15033s]
[TDSA-E] it7150: cur 5638 best_mk 3388.2d best_strands 45 T=9.7 acc=674 [15120s]
[TDSA-E] it7200: cur 5638 best_mk 3388.2d best_strands 45 T=9.6 acc=675 [15213s]
[TDSA-E] it7250: cur 5640 best_mk 3388.2d best_strands 45 T=9.5 acc=677 [15312s]
[TDSA-E] it7300: cur 5640 best_mk 3388.2d best_strands 45 T=9.4 acc=678 [15413s]
[TDSA-E] it7350: cur 5637 best_mk 3387.2d best_strands 45 T=9.3 acc=680 [15508s]
[TDSA-E] it7400: cur 5637 best_mk 3386.9d best_strands 45 T=9.2 acc=684 [15606s]
[TDSA-E] it7450: cur 5639 best_mk 3386.9d best_strands 45 T=9.1 acc=687 [15714s]
[TDSA-E] it7500: cur 5639 best_mk 3386.9d best_strands 45 T=9.0 acc=688 [15824s]
[TDSA-E] it7550: cur 5637 best_mk 3386.9d best_strands 45 T=8.9 acc=692 [15929s]
[TDSA-E] it7600: cur 5637 best_mk 3386.9d best_strands 45 T=8.8 acc=692 [16028s]
[TDSA-E] it7650: cur 5637 best_mk 3386.9d best_strands 45 T=8.8 acc=692 [16132s]
[TDSA-E] it7700: cur 5642 best_mk 3386.9d best_strands 45 T=8.7 acc=695 [16230s]
[TDSA-E] it7750: cur 5643 best_mk 3386.9d best_strands 45 T=8.6 acc=700 [16331s]
[TDSA-E] it7800: cur 5643 best_mk 3386.9d best_strands 45 T=8.5 acc=704 [16438s]
[TDSA-E] it7850: cur 5639 best_mk 3386.9d best_strands 45 T=8.4 acc=707 [16538s]
[TDSA-E] it7900: cur 5639 best_mk 3386.9d best_strands 45 T=8.3 acc=710 [16630s]
[TDSA-E] it7950: cur 5639 best_mk 3386.9d best_strands 45 T=8.3 acc=712 [16735s]
[TDSA-E] it8000: cur 5639 best_mk 3386.9d best_strands 45 T=8.2 acc=714 [16828s]
[TDSA-E] it8050: cur 5639 best_mk 3386.9d best_strands 45 T=8.1 acc=717 [16919s]
[TDSA-E] it8100: cur 5639 best_mk 3386.9d best_strands 45 T=8.0 acc=718 [17026s]
[TDSA-E] it8150: cur 5639 best_mk 3386.9d best_strands 45 T=7.9 acc=719 [17123s]
[TDSA-E] it8200: cur 5639 best_mk 3386.9d best_strands 45 T=7.9 acc=720 [17221s]
[TDSA-E] it8250: cur 5639 best_mk 3386.9d best_strands 45 T=7.8 acc=723 [17311s]
[TDSA-E] it8300: cur 5635 best_mk 3385.1d best_strands 45 T=7.7 acc=724 [17401s]
[TDSA-E] it8350: cur 5635 best_mk 3385.1d best_strands 45 T=7.6 acc=727 [17501s]
