E-508: bank_mk=142.9183, target=R1=101.65
Bank perm fast walk: mk=162.2333333492279 ok=True
  [s=1 it=482692 t=600s T=1.57] cur=159.57 best=151.75 walks=475342 feas=15127 acc=7009 (792/s)
  [s=0 it=462886 t=600s T=0.50] cur=153.57 best=152.99 walks=455669 feas=16073 acc=5017 (759/s)
  [s=4 it=467672 t=600s T=0.50] cur=157.17 best=152.99 walks=460386 feas=15052 acc=6447 (767/s)
  [s=2 it=464918 t=600s T=4.89] cur=163.57 best=152.99 walks=457874 feas=15952 acc=5270 (763/s)
  [s=3 it=468459 t=600s T=0.55] cur=157.49 best=152.99 walks=461211 feas=15980 acc=5996 (768/s)
  [s=5 it=487675 t=600s T=0.50] cur=151.75 best=151.75 walks=480090 feas=15869 acc=5715 (800/s)
  [s=6 it=465423 t=600s T=0.92] cur=157.17 best=152.99 walks=458246 feas=15827 acc=6036 (763/s)
  [s=7 it=463828 t=600s T=0.50] cur=152.99 best=151.75 walks=456810 feas=15208 acc=5829 (761/s)
  [s=4 it=515649 t=660s T=0.50] cur=154.99 best=152.99 walks=507654 feas=16618 acc=6911 (769/s)
  [s=1 it=531425 t=660s T=0.73] cur=154.39 best=151.75 walks=523322 feas=16651 acc=7634 (792/s)
  [s=0 it=509143 t=660s T=0.50] cur=153.23 best=152.99 walks=501219 feas=17711 acc=5427 (759/s)
  [s=3 it=517738 t=660s T=0.50] cur=156.99 best=152.99 walks=509705 feas=17394 acc=6374 (772/s)
  [s=2 it=510738 t=660s T=2.19] cur=165.43 best=152.99 walks=503003 feas=17557 acc=6239 (762/s)
  [s=5 it=536825 t=660s T=0.50] cur=152.31 best=151.75 walks=528507 feas=17442 acc=6098 (800/s)
  [s=6 it=513835 t=660s T=0.50] cur=156.73 best=152.99 walks=505914 feas=17310 acc=6590 (766/s)
  [s=7 it=509623 t=661s T=0.50] cur=153.65 best=151.75 walks=501912 feas=16741 acc=6215 (760/s)
  [s=4 it=560929 t=720s T=0.50] cur=152.99 best=152.99 walks=552226 feas=18186 acc=7344 (767/s)
  [s=0 it=555281 t=720s T=0.50] cur=153.65 best=152.99 walks=546665 feas=19314 acc=5801 (759/s)
  [s=1 it=577597 t=720s T=0.50] cur=152.99 best=151.75 walks=568781 feas=18262 acc=8063 (790/s)
  [s=3 it=566664 t=720s T=0.50] cur=158.07 best=152.99 walks=557819 feas=18948 acc=6843 (774/s)
  [s=2 it=560035 t=720s T=0.99] cur=157.49 best=152.99 walks=551524 feas=19151 acc=6968 (766/s)
  [s=5 it=585444 t=720s T=3.43] cur=168.43 best=151.75 walks=576365 feas=18937 acc=6759 (800/s)
  [s=6 it=562933 t=720s T=0.50] cur=152.31 best=151.75 walks=554247 feas=18734 acc=7017 (769/s)
  [s=7 it=555945 t=721s T=0.50] cur=153.65 best=151.75 walks=547510 feas=18404 acc=6703 (760/s)
  [s=0 it=602877 t=780s T=2.43] cur=174.57 best=152.99 walks=593506 feas=20914 acc=6751 (761/s)
  [s=1 it=623870 t=780s T=0.50] cur=152.99 best=151.75 walks=614296 feas=19938 acc=8452 (787/s)
  [s=4 it=606451 t=780s T=0.50] cur=153.23 best=152.99 walks=597102 feas=19763 acc=7719 (765/s)
  [s=3 it=615612 t=780s T=0.50] cur=156.49 best=152.99 walks=605987 feas=20228 acc=7317 (776/s)
  [s=5 it=633390 t=780s T=1.61] cur=154.15 best=151.75 walks=623562 feas=20456 acc=7565 (799/s)
  [s=6 it=611841 t=781s T=2.49] cur=164.57 best=151.75 walks=602386 feas=20284 acc=7953 (772/s)
  [s=2 it=609342 t=781s T=3.44] cur=157.75 best=151.75 walks=600074 feas=20571 acc=7744 (769/s)
  [s=7 it=601843 t=781s T=0.50] cur=152.99 best=151.75 walks=592674 feas=20002 acc=7113 (759/s)
  [s=1 it=670301 t=840s T=0.50] cur=152.99 best=151.75 walks=659978 feas=21572 acc=8898 (785/s)
  [s=4 it=651783 t=840s T=0.50] cur=153.23 best=152.99 walks=641737 feas=21318 acc=8089 (764/s)
  [s=0 it=649041 t=840s T=1.10] cur=152.99 best=152.99 walks=638992 feas=22503 acc=7443 (760/s)
